AAAA-MM-DD HH-MM-SS.ssssss	Xac	Yac	Zac	Xgi	Ygi	Zgi	Xma	Yma	Zma	Wq	Iq	Jq	Kq	
2017-05-09 09:50:54.293686	2017-05-09 09:50:55.295077	2017-05-09 09:50:56.296295	2017-05-09 09:50:57.297590	2017-05-09 09:50:58.148494	.00	-0.01	0.00	
2017-05-09 09:50:59.948384	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	0.00	-0.01	0.00	
2017-05-09 09:50:59.979726	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.01	0.00	0.00	
2017-05-09 09:50:59.982032	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.01	0.00	0.00	
2017-05-09 09:50:59.984591	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.01	0.00	0.00	
2017-05-09 09:50:59.988377	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.019880	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.023635	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.027183	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.01	0.00	-0.01	
2017-05-09 09:51:00.030800	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.02	0.00	-0.01	
2017-05-09 09:51:00.059578	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.02	0.00	-0.01	
2017-05-09 09:51:00.061912	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.02	0.00	-0.01	
2017-05-09 09:51:00.062954	1 - 1.00	-0.00	0.00	0.04	-	-0.00	0.00	1.01	-	-0.01	0.00	-0.02	
2017-05-09 09:51:00.096933	1 - 1.00	-0.00	0.00	0.04	-	-0.00	0.01	1.01	-	0.00	0.00	-0.04	
2017-05-09 09:51:00.099546	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.01	-	-0.01	0.00	-0.03	
2017-05-09 09:51:00.100663	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.01	-	0.00	0.00	-0.02	
2017-05-09 09:51:00.107724	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.01	-	0.00	-0.01	-0.02	
2017-05-09 09:51:00.111861	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.00	-0.01	-0.01	
2017-05-09 09:51:00.143321	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-09 09:51:00.144982	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-09 09:51:00.146970	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.00	-0.01	0.00	
2017-05-09 09:51:00.149801	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.01	-0.01	0.00	
2017-05-09 09:51:00.152448	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.01	-0.01	0.00	
2017-05-09 09:51:00.184882	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.01	-0.01	0.00	
2017-05-09 09:51:00.187255	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.01	-0.02	0.01	
2017-05-09 09:51:00.190239	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.01	-0.02	0.01	
2017-05-09 09:51:00.223096	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.02	-0.02	0.02	
2017-05-09 09:51:00.225891	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.01	1.00	-	0.02	-0.02	0.02	
2017-05-09 09:51:00.228233	1 - 1.00	-0.00	0.00	0.04	-	-0.00	-0.00	1.00	-	0.01	-0.02	0.02	
2017-05-09 09:51:00.230403	1 - 1.00	-0.00	-0.00	0.04	-	-0.00	-0.00	1.01	-	0.01	-0.02	0.01	
